               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10315,            0.021827,                   0,            0.048887,             0.52326,            0.088501,            0.023324,            0.075896,            0.014844,                   0,            0.070319,           0.0032979,           0.0032979
                   1,            0.072097,             0.01769,                   0,             0.32431,             0.36047,             0.28392,            0.098338,             0.06156,            0.012647,                   0,              0.0401,           0.0064124,           0.0064124
                   2,            0.063616,            0.015765,                   0,             0.40317,             0.47674,              0.4407,             0.19038,            0.054468,            0.011758,                   0,           0.0096615,           0.0093069,           0.0093069
                   3,            0.058956,            0.013775,                   0,             0.55105,             0.59884,             0.54753,             0.20152,            0.052972,            0.010263,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.054392,            0.012926,                   0,             0.63987,             0.57558,              0.6261,             0.27025,            0.046228,            0.010095,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.051366,            0.012297,                   0,             0.62835,              0.6686,             0.67644,             0.29029,            0.048986,           0.0093288,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.050857,            0.011971,                   0,             0.63564,             0.69984,             0.66643,             0.29069,            0.045577,           0.0094169,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.048105,            0.011982,                   0,             0.71508,             0.74418,             0.69472,             0.29197,            0.044696,           0.0090059,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.047751,            0.011287,                   0,             0.67172,              0.6686,              0.6554,             0.27218,            0.043753,           0.0093578,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.045875,            0.011529,                   0,             0.75714,              0.7093,             0.73372,             0.30892,            0.044645,           0.0084305,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.043976,            0.010973,                   0,             0.68611,                0.75,             0.69081,             0.33122,            0.041323,           0.0087763,                   0,             0.00703,             0.00703,             0.00703
                  11,             0.04364,            0.011325,                   0,             0.76426,             0.82935,             0.79867,             0.36104,            0.042129,           0.0081108,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.041383,            0.010618,                   0,             0.79886,             0.80816,             0.80284,             0.37408,            0.040756,           0.0080922,                   0,             0.00637,             0.00637,             0.00637
                  13,             0.04162,            0.010518,                   0,             0.76057,             0.75581,             0.77527,             0.36813,            0.041276,           0.0085572,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.041053,            0.010374,                   0,             0.76986,              0.7585,             0.77197,             0.36001,            0.040842,           0.0086697,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.039609,             0.01049,                   0,             0.74633,             0.85528,              0.7563,             0.37162,            0.039895,           0.0082048,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.039238,            0.010181,                   0,             0.75655,             0.86725,             0.80893,             0.37011,             0.03989,           0.0080554,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.037581,           0.0098979,                   0,              0.7603,             0.87791,             0.78449,             0.34999,            0.040122,           0.0080118,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.036971,           0.0097765,                   0,             0.75547,             0.88372,             0.77406,             0.35281,            0.039306,           0.0077963,                   0,             0.00439,             0.00439,             0.00439
                  19,             0.03626,           0.0095565,                   0,             0.81896,             0.86789,             0.81737,             0.37804,            0.039476,           0.0078869,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.035795,            0.009628,                   0,             0.79989,             0.85987,             0.83941,             0.38716,            0.039831,           0.0077734,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.034651,           0.0091165,                   0,             0.77397,             0.88372,             0.81359,             0.39897,            0.037084,           0.0074425,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.034148,           0.0090492,                   0,             0.77333,             0.89535,             0.80643,             0.39446,            0.036595,           0.0074449,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.033648,           0.0090148,                   0,             0.76308,             0.88012,             0.80824,             0.39298,            0.038054,           0.0076078,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.033276,           0.0087108,                   0,             0.78655,             0.85699,             0.77524,             0.37428,            0.038207,           0.0074965,                   0,             0.00241,             0.00241,             0.00241
                  25,             0.03263,           0.0086577,                   0,             0.78156,             0.89446,             0.81266,             0.39033,            0.038036,           0.0074313,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.031549,           0.0086502,                   0,             0.79686,             0.88953,             0.79075,             0.36802,            0.038506,           0.0074581,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.031389,           0.0086225,                   0,             0.76697,             0.91852,             0.80379,             0.39651,            0.037584,           0.0074442,                   0,             0.00142,             0.00142,             0.00142
                  28,             0.03064,            0.008596,                   0,             0.79381,              0.8953,              0.8001,             0.38951,            0.037548,           0.0073714,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.030002,           0.0081544,                   0,              0.7737,             0.90698,             0.80869,             0.37358,            0.039079,           0.0073636,                   0,             0.00076,             0.00076,             0.00076
